time,open,high,low,close,volume
2013-07-28,1296.7,1346.68,1296.42,1333.06,887691
2013-08-04,1333.38,1339.07,1283.1,1312.43,925486
2013-08-11,1312.02,1320.72,1272.8,1314.24,777176
2013-08-18,1317.59,1379.57,1315.89,1376.56,1077629
2013-08-25,1378.68,1400.01,1352.35,1397.68,1059285
2013-09-01,1398.85,1433.73,1389.45,1394.81,1048341
2013-09-08,1391.41,1416.35,1359.91,1391.13,869846
2013-09-15,1389.9,1391.95,1304.91,1326.15,797759
2013-09-22,1329.26,1375.08,1291.79,1325.65,1051466
2013-09-29,1325.71,1344.09,1305.8,1336.46,1101809
2013-10-06,1347.77,1347.77,1277.81,1310.51,1008226
2013-10-13,1313.89,1330.09,1262.13,1272.08,1269299
2013-10-20,1273.8,1327.19,1251.67,1316.08,521489
2013-10-27,1315.07,1355.8,1310.19,1350.44,336204
2013-11-03,1352.65,1361.77,1306.15,1315.85,365340
2013-11-10,1314.57,1326.34,1281.07,1287.8,322929
2013-11-17,1288.43,1294.25,1261.33,1287.97,342347
2013-11-24,1288.78,1289.54,1236.71,1243.15,346622
2013-12-01,1237.81,1257.87,1226.77,1252.92,265505
2013-12-08,1249.5,1251.49,1211.71,1228.61,377096
2013-12-15,1231.01,1267.76,1220.54,1238.41,368462
2013-12-22,1237.69,1251.86,1187.14,1202.93,397186
2013-12-29,1203.57,1219.02,1192.65,1213.13,159120
